subsystem,file,line_or_range,branch_commit,lineage,data_owned,read_write,cpu_gpu_parity,status,canonical_status,notes
uVec/yVec/zVec rod body frame (roll DOF carrier),softbox/RigidRodBody.java,31-34,pre-azimuth (branch+main),shared,per-rod SoA FloatArray,read+write (integrated via torqueSum.u->bwx; re-orthogonalized each step),bit/last-bit identical,ACTIVE (always present),canonical infrastructure,"azimuth = roll of yVec about uVec; frame set at build (yVec=(0,1,0) default)"
uVec/yVec/zVec aliasing (filament frame),softbox/FilamentStore.java,41-45,pre-azimuth (branch+main),shared,aliased FloatArray (embeds one RigidRodBody),read+write (inherited from RigidRodBody),identical,ACTIVE,canonical infrastructure,FilamentStore embeds one RigidRodBody
frame re-orthogonalization (roll preserved),softbox/DerivedGeometrySystem.java,derive/orthogonalizeY,pre-azimuth (branch+main),shared,reads/writes yVec,read+write (yVec'=zVec x uVec each step; preserves roll),identical,ACTIVE,canonical infrastructure,cleans Euler drift without resetting roll
inter-segment torsional-roll spring (Piece 3),softbox/RollSpringSystem.java,107-170,9c0f1d9 (branch+main),lumped/gliding,reads uVec/yVec/bRotGam; writes torqueSum,read+write,bit-identical CPU<->GPU,FLAG-GATED default-off,noncanonical,genuinely new v2 physics (no v1 port); springs-continuum mode 2; neighbour twist e=phi-rest -> Tmag*u_owner equal-opposite (roll ang.mom. conserved)
roll thermostat (Piece 4),softbox/RollSpringSystem.java,179-185,9c0f1d9 (branch+main),lumped/gliding,attenuates randTorque x-plane by rollParams[5],write (randTorque_x *= rollDamp),byte-identical at rollDamp=1.0,FLAG-GATED default-off,noncanonical,quiets roll so twirl observable; y/z kicks untouched
signed roll angle helper,softbox/RollSpringSystem.java,88-100,9c0f1d9 (branch+main),lumped/gliding,pure function,read (atan2-style via cos/sin against owner y/z),identical,ACTIVE (helper),noncanonical,accurateAcos PTX-safe
roll-coherence PROTOTYPE + observables,softbox/RollSpringHarness.java,whole,9c0f1d9 (branch+main),lumped/gliding,standalone,read (jointRoll + twistProfile static twist mean/std),reports both runners,STANDALONE prototype (run_rollspring.sh),noncanonical,NO cumulative-turns meter; measures static twist coherence not dynamic twirling
TWIST_PER_MON_DEG constant (-166.5 deg/monomer),softbox/RollSpringHarness.java,38,9c0f1d9 (branch+main),lumped/gliding,constant,read,n/a,ACTIVE constant,noncanonical,LEFT-handed derived fresh; actin 13/6
bindNearestAzim (Inc-2 HARD orientational gate),softbox/BindingDetectionSystem.java,398-478,9c0f1d9 (branch+main),lumped/gliding,reads segYVec+head uVec; writes boundSeg/bindArc,read+write,bit-identical (deterministic),FLAG-GATED via kinParams[25],noncanonical,continuous gate; ON-AXIS attach; site scan = monomer-spaced sampling of continuous phi(s); accept iff any site n_hat antiparallel to headU within cos(delta)
bindNearestFalloff (Inc-3 GRADED affinity gate),softbox/BindingDetectionSystem.java,480-555,9c0f1d9 (mod bdc5019) (branch+main),lumped/gliding,reads segYVec+head uVec; writes boundSeg/bindArc,read+write,CPU=GPU (per-motor pure write),FLAG-GATED via kinParams[26],noncanonical,continuous gate; ON-AXIS attach at best-registered arc; a=bestBase^n MAX-combined; wang-hash draw u<a salt AZBD
reachTestDistSq perpendicular offset (discarded),softbox/BindingDetectionSystem.java,74-76,9c0f1d9 (branch+main),lumped/gliding,computes head perp-offset (cp-head) then discards,read (computed then discarded),identical,ACTIVE (baseline reach),noncanonical,REUSE CANDIDATE: exactly the head azimuthal position psi needed for a real gate/off-axis attach
AZ_NJMAX axial scan half-width (=4),softbox/BindingDetectionSystem.java,401,9c0f1d9 (branch+main),lumped/gliding,constant,read,n/a,ACTIVE constant,noncanonical,fixed loop bound (PTX-safe); NOT a site index
kinParams[22-26] azimuth gate params,softbox/MotorStore.java,242-244,9c0f1d9 (branch+main),lumped/gliding,per-motor kinParams,read (by azim gates); default 0,identical,default 0 => OFF => byte-identical,noncanonical,[22]=cos(delta) [23]=twistRate rad/um (signed LEFT-handed) [24]=monoSp um [25]=azGate [26]=falloff n
ROLL_SPRING/AZ_GATE/AZ_FALLOFF wiring flags,softbox/GlidingHarness.java,195-199,9c0f1d9 (mod bdc5019/2170aff) (branch+main),lumped/gliding,static flags,read (set by CLI),n/a,DEFAULT FALSE,noncanonical,-rollonly/-azimbind/-azfalloff/-azaccept
azimuth param setup (twistRatePerUm + roll rest),softbox/GlidingHarness.java,549-669,9c0f1d9 (branch+main),lumped/gliding,builds rollParams/kinParams,write,n/a,gated,noncanonical,twistRatePerUm=-166.5*pi/180/actinMonoRadius; frames seeded at twisted rest from step 0 when on
CPU step calls (dampRoll + rollForces),softbox/GlidingHarness.java,886-888,9c0f1d9 (branch+main),lumped/gliding,n/a,invokes (mirror of GPU tasks),identical,gated,noncanonical,CPU runner
GPU TaskGraph tasks (dampRoll + rollForces),softbox/GlidingHarness.java,2402-2519,9c0f1d9 (branch+main),lumped/gliding,device buffers,invokes (joins single gliding TaskGraph),device-resident,gated,noncanonical,localWork=64 on RNG/gate kernels
omega angular-velocity estimator (MOTOR u-vec),softbox/GlidingHarness.java,2357,pre/around 2170aff (branch+main),lumped/gliding,pure function,read (finite-diff of MOTOR body uVec),n/a,ACTIVE (J2 study),noncanonical,applied to MOTOR body NOT filament roll; not a filament-omega meter
actinMonoRadius monomer axial half-spacing 0.0027 um,softbox/Constants.java,36-37,pre-azimuth (branch+main),shared,constant,read,n/a,ACTIVE,canonical infrastructure,used as monoSp sample spacing
matGeomGate (CANONICAL explicit bind gate),softbox/MatSoaSlice.java,314-391,pre-azimuth (branch+main),explicit-S2,reads filCoord/filUVec/filSegLen (NO filYVec); writes boundSeg/bindArc,read+write,CPU<->GPU bit/event-identical,ACTIVE canonical production,canonical,NO azimuth read; actin = centerline+axis+length; nearestSeg2D + 8-gate AND on motor angles; surf=conDist-FIL_R (azimuth-symmetric cylinder)
matBindGateExplicit (explicit-beam bind gate),softbox/TwoBodyBeamAnalyticGpu.java,430-475,pre-azimuth (branch+main),explicit-S2,as matGeomGate (NO filYVec),read+write,identical,ACTIVE,canonical,NO azimuth read; identical structure to matGeomGate
dimerBindGate (GPU device bind gate),softbox/ExplicitHmmDimerGpuKernel.java,398-406,pre-azimuth (branch+main),explicit-S2,reads filC/filU/filSeg/cumLen (NO filYVec),read+write,device-resident,ACTIVE canonical GPU,canonical,no azimuthal field packed into D; gateHead on packed motor D + centerline
buildProductionGpu (canonical GPU production timestep),softbox/ExplicitHmmDimerGpuValidation.java,1702-1748,pre-azimuth (branch+main),explicit-S2,device buffers,orchestrates (bind on device then bondForces reads filYVec),device-resident,ACTIVE,canonical,filYVec transferred+resident but read only by force/derive POST-binding not by bind gate
bhat/econv MOTOR base frame vectors,softbox/TwoBodyConverterMotor.java,1263-1265,pre-azimuth (branch+main),explicit-S2,per-motor,read,n/a,ACTIVE,canonical,MOTOR-side azimuth NOT filament helical phase; barbedDir used only for binding pose+analysis
dimerBhat/dimerEconv per-dimer random azimuth about vertical,softbox/ExplicitHmmDimerGlidingHarness.java,113;253-261;344,pre-azimuth (branch+main),explicit-S2,per-dimer arrays,read+write (rotateDimerZ(az)),used on both runners,ACTIVE,canonical,MOTOR anchored orientation; filament frame untouched by it and not read by gate
STANDING_EXCLUSION_NM same-filament axial occupancy exclusion 5.4nm,softbox/ExplicitHmmDimerGpuParams.java,101,pre-azimuth (branch+main),explicit-S2,constant,read (axial-gap veto |dArc|<5.4nm),CPU-only,DEFAULT-OFF non-canonical-gate,noncanonical,steric co-occupancy (continuous) NOT discrete sites; NOT in production gate
occupancyVeto axial-gap steric veto impl,softbox/ExplicitHmmDimer3jsHarness.java,occupancyVeto/filMatCoordUm,pre-azimuth (branch+main),explicit-S2,reads continuous material coord,read (candFil==partnerFil && |sCand-sPartner|<5.4-tol),CPU-only,DEFAULT-OFF,noncanonical,running min-separation check; no site grid; REUSE CANDIDATE for goal A (co-occupancy capping)
