parameter,value,units,code_location,harnesses,provenance_class,source,independently_validated,changing_invalidates,freeze_status,notes
atpOn,2.0e4,per_s,MotorStore.java:457,"explicit-s2/HMM/SM4/lumped (all cycleLymnTaylor)",B,"Lymn & Taylor 1971 (rabbit skel HMM ~20C); via Howard 2001 T14-2; pseudo-first-order saturating [ATP]",partial (SM4 rigor arm k0 recovered),"gliding V0, rigor lifetime, all cycling",FROZEN,"sole LT release clock; 2e4 is an order-of-magnitude lower-bound"
onATP_hydrolysis_onfil,100,per_s,MotorStore.java:458,all,B,"Lymn & Taylor 1971 / White & Taylor 1976 (~20C)",no,"cycle dwell, duty",FROZEN,ATP->ADPPi
offATP_hydrolysis_offfil,100,per_s,MotorStore.java:459,all,B,"as onATP; sets ~10ms detached recovery",no,"detached recovery time, duty",FROZEN,
onPi_powerstroke_onfil,1.0e4,per_s,MotorStore.java:460,all,B,"White & Taylor 1976 / Howard T14-2 (~20C)",no,"stroke timing, duty",FROZEN,Pi release = power stroke
offPi_offfil,0,per_s,MotorStore.java:461,all,D,"v1 choice (absorbing; Env.java:851 //0.1)",no,"off-fil priming",CONDITIONALLY_FROZEN,disabled off-fil Pi release
onADP_release_onfil,1.0e3,per_s,MotorStore.java:462,all,B,"Siemankowski Wiseman & White 1985 (rabbit skel S1 ~15C, >=500/s); already ~25C-equiv",yes (SM4 ADP arm compliant fixture),"gliding V0 (velocity-limiting), force-dependent lifetime",FROZEN,"catch-slip-modulated; carries the model load dependence"
offADP_release_offfil,1.0e3,per_s,MotorStore.java:463,all,B,"as onADP",no,"free-head detach",FROZEN,
alphaCatch,0.92,dimensionless,MotorStore.java:290,all,B,"Guo & Guilford 2006 (rat skel HMM room temp)",yes (SM4 blind),"force-dependent lifetime, catch peak, gliding",FROZEN,g(0)=aCatch+aSlip=1.000000
alphaSlip,0.08,dimensionless,MotorStore.java:291,all,B,"Guo & Guilford 2006",yes (SM4 blind),"force-dependent lifetime, gliding",FROZEN,
xCatch,2.5,nm,MotorStore.java:292,all,B,"Guo & Guilford 2006 (Veigel d~2.7nm cross-check)",yes (SM4 blind ADP fixture recovered 2.50 exact),"force-dependent lifetime, gliding V0",FROZEN,not a gliding knob
xSlip,0.4,nm,MotorStore.java:293,all,B,"Guo & Guilford 2006",yes (SM4 blind),"force-dependent lifetime",FROZEN,
kT_catch,4.116e-21,J,MotorStore.java:294,all,A,"Constants.kT tempK=298.15 (25C explicit)",yes (defined),"all exp(F x/kT) and Brownian",FROZEN,PINNED thermodynamic
kOff,100,per_s,MotorStore.java:289,legacy catchSlipRelease only,H,"v1 Env.java:822 duty anchor",n/a,none (dormant),DEPRECATED,not read on canonical LT path
kOn,0,per_um_s,MotorStore.java:316,none (unused),E,"geometric bind-on-contact default",n/a,none,DEPRECATED,canonical bind is deterministic gate
MYO_REBIND_TIME,1.0e-5,s,MotorStore.java:153,all,H,"v1 Env.myoRebindTime Env.java:832",no,"post-release refractory (=1 step at prod dt)",CONDITIONALLY_FROZEN,numerical
refractoryBlockProb,1.0,probability,MotorStore.java:310,all,E,"deterministic 1-step; 0.31 v1-GPU oracle variant",no,"rebind timing",CONDITIONALLY_FROZEN,0.31 variant is OPTIONAL
pDtCap,0.2,dimensionless,MotorStore.java:353,SM4/rupture,E,"rate*dt small-limit guard",n/a,none (flag only),FROZEN_NUMERICAL,never clips; flags
